,SchoolYear,NameHospital,Sex,EpiUnderweight,EpiHealthyWeight,EpiOverweight,EpiObese,EpiOverweightAndObese,ValidCounts,UnvalidCounts,TotalCounts,year,%ValidCounts,%UnValidCounts
0,2001-01-01,Borders,Female,2,334,54,28,82,418,82,500,2001,83.6,16.400000000000002
1,2001-01-01,Borders,Male,5,301,63,42,105,411,105,516,2001,79.65116279069767,20.348837209302324
2,2001-01-01,Lothian,Female,12,728,133,106,239,979,239,1218,2001,80.3776683087028,19.62233169129721
3,2001-01-01,Lothian,Male,17,681,124,114,238,936,238,1174,2001,79.7274275979557,20.272572402044293
4,2001-01-01,Fife,Female,17,1361,231,155,386,1764,386,2150,2001,82.04651162790698,17.953488372093023
5,2001-01-01,Fife,Male,24,1365,244,219,463,1852,463,2315,2001,80.0,20.0
6,2001-01-01,Lanarkshire,Female,57,2280,319,287,606,2943,606,3549,2001,82.92476754015216,17.075232459847843
7,2001-01-01,Lanarkshire,Male,72,2231,347,281,628,2931,628,3559,2001,82.35459398707502,17.64540601292498
8,2002-01-01,Lothian,Female,10,634,125,107,232,876,232,1108,2002,79.06137184115524,20.938628158844764
9,2002-01-01,Lothian,Male,23,611,126,105,231,865,231,1096,2002,78.92335766423358,21.076642335766422
10,2002-01-01,Fife,Female,9,1275,206,189,395,1679,395,2074,2002,80.95467695274831,19.04532304725169
11,2002-01-01,Fife,Male,20,1229,239,178,417,1666,417,2083,2002,79.98079692750841,20.0192030724916
12,2002-01-01,Tayside,Female,19,1574,247,192,439,2032,439,2471,2002,82.23391339538648,17.76608660461352
13,2002-01-01,Tayside,Male,41,1600,267,201,468,2109,468,2577,2002,81.83934807916181,18.160651920838184
14,2002-01-01,Lanarkshire,Female,65,2352,359,275,634,3051,634,3685,2002,82.79511533242876,17.204884667571235
15,2002-01-01,Lanarkshire,Male,79,2472,409,302,711,3262,711,3973,2002,82.10420337276616,17.89579662723383
16,2003-01-01,Borders,Female,3,377,67,44,111,491,111,602,2003,81.56146179401993,18.438538205980066
17,2003-01-01,Borders,Male,6,400,83,39,122,528,122,650,2003,81.23076923076923,18.76923076923077
18,2003-01-01,Lothian,Female,10,631,99,73,172,813,172,985,2003,82.53807106598985,17.461928934010153
19,2003-01-01,Lothian,Male,20,629,105,83,188,837,188,1025,2003,81.65853658536585,18.341463414634145
20,2003-01-01,Western Isles,Female,1,80,11,10,21,102,21,123,2003,82.92682926829268,17.073170731707318
21,2003-01-01,Western Isles,Male,0,58,12,7,19,77,19,96,2003,80.20833333333334,19.791666666666664
22,2003-01-01,Fife,Female,9,1306,236,184,420,1735,420,2155,2003,80.51044083526682,19.489559164733176
23,2003-01-01,Fife,Male,17,1256,236,175,411,1684,411,2095,2003,80.38186157517899,19.618138424821
24,2003-01-01,Tayside,Female,26,1511,237,189,426,1963,426,2389,2003,82.16827124319799,17.831728756802008
25,2003-01-01,Tayside,Male,39,1540,247,235,482,2061,482,2543,2003,81.04600865119937,18.953991348800628
26,2003-01-01,Lanarkshire,Female,48,2362,380,337,717,3127,717,3844,2003,81.34755463059314,18.652445369406866
27,2003-01-01,Lanarkshire,Male,96,2397,395,344,739,3232,739,3971,2003,81.39007806597834,18.609921934021656
28,2004-01-01,Borders,Female,8,427,82,53,135,570,135,705,2004,80.85106382978722,19.148936170212767
29,2004-01-01,Borders,Male,6,405,81,70,151,562,151,713,2004,78.82187938288921,21.1781206171108
30,2004-01-01,Dumfries and Galloway,Female,9,342,72,54,126,477,126,603,2004,79.1044776119403,20.8955223880597
31,2004-01-01,Dumfries and Galloway,Male,10,417,69,48,117,544,117,661,2004,82.29954614220878,17.700453857791228
32,2004-01-01,Lothian,Female,31,2660,405,366,771,3462,771,4233,2004,81.7859673990078,18.214032600992205
33,2004-01-01,Lothian,Male,61,2558,469,393,862,3481,862,4343,2004,80.15196868524062,19.848031314759382
34,2004-01-01,Western Isles,Female,0,7,2,3,5,12,5,17,2004,70.58823529411765,29.411764705882355
35,2004-01-01,Western Isles,Male,0,8,0,2,2,10,2,12,2004,83.33333333333334,16.666666666666664
36,2004-01-01,Fife,Female,7,1254,212,163,375,1636,375,2011,2004,81.35256091496768,18.64743908503232
37,2004-01-01,Fife,Male,23,1349,295,188,483,1855,483,2338,2004,79.34131736526946,20.65868263473054
38,2004-01-01,Tayside,Female,19,1461,211,190,401,1881,401,2282,2004,82.42769500438212,17.57230499561788
39,2004-01-01,Tayside,Male,31,1521,229,206,435,1987,435,2422,2004,82.03963666391412,17.96036333608588
40,2004-01-01,Lanarkshire,Female,55,2312,343,294,637,3004,637,3641,2004,82.50480637187586,17.49519362812414
41,2004-01-01,Lanarkshire,Male,92,2340,333,345,678,3110,678,3788,2004,82.10137275607181,17.898627243928196
42,2005-01-01,Borders,Female,5,407,57,50,107,519,107,626,2005,82.9073482428115,17.0926517571885
43,2005-01-01,Borders,Male,8,459,61,72,133,600,133,733,2005,81.85538881309687,18.144611186903138
44,2005-01-01,Dumfries and Galloway,Female,5,510,81,54,135,650,135,785,2005,82.80254777070064,17.197452229299362
45,2005-01-01,Dumfries and Galloway,Male,6,456,93,72,165,627,165,792,2005,79.16666666666666,20.833333333333336
46,2005-01-01,Forth Valley,Female,20,1132,173,139,312,1464,312,1776,2005,82.43243243243244,17.56756756756757
47,2005-01-01,Forth Valley,Male,31,1094,197,165,362,1487,362,1849,2005,80.42184964845862,19.578150351541375
48,2005-01-01,Lothian,Female,54,2651,418,302,720,3425,720,4145,2005,82.62967430639324,17.370325693606755
49,2005-01-01,Lothian,Male,58,2602,449,411,860,3520,860,4380,2005,80.36529680365297,19.63470319634703
50,2005-01-01,Western Isles,Female,1,44,9,5,14,59,14,73,2005,80.82191780821918,19.17808219178082
51,2005-01-01,Western Isles,Male,0,49,10,8,18,67,18,85,2005,78.82352941176471,21.176470588235293
52,2005-01-01,Fife,Female,10,1241,246,200,446,1697,446,2143,2005,79.18805412972468,20.811945870275313
53,2005-01-01,Fife,Male,13,1304,293,271,564,1881,564,2445,2005,76.93251533742331,23.06748466257669
54,2005-01-01,Tayside,Female,25,1407,241,188,429,1861,429,2290,2005,81.26637554585153,18.73362445414847
55,2005-01-01,Tayside,Male,32,1445,267,207,474,1951,474,2425,2005,80.45360824742268,19.546391752577318
56,2005-01-01,Lanarkshire,Female,49,2269,340,270,610,2928,610,3538,2005,82.75862068965517,17.24137931034483
57,2005-01-01,Lanarkshire,Male,70,2200,354,296,650,2920,650,3570,2005,81.79271708683473,18.207282913165265
58,2006-01-01,Borders,Female,2,444,55,54,109,555,109,664,2006,83.58433734939759,16.415662650602407
59,2006-01-01,Borders,Male,3,415,81,49,130,548,130,678,2006,80.8259587020649,19.174041297935105
60,2006-01-01,Dumfries and Galloway,Female,5,424,81,53,134,563,134,697,2006,80.77474892395983,19.225251076040173
61,2006-01-01,Dumfries and Galloway,Male,6,472,88,82,170,648,170,818,2006,79.21760391198043,20.78239608801956
62,2006-01-01,Forth Valley,Female,13,1065,136,130,266,1344,266,1610,2006,83.47826086956522,16.52173913043478
63,2006-01-01,Forth Valley,Male,7,1130,195,132,327,1464,327,1791,2006,81.74204355108877,18.257956448911223
64,2006-01-01,Lothian,Female,23,1980,336,246,582,2585,582,3167,2006,81.62298705399431,18.37701294600568
65,2006-01-01,Lothian,Male,42,1868,343,302,645,2555,645,3200,2006,79.84375,20.15625
66,2006-01-01,Western Isles,Female,3,111,14,19,33,147,33,180,2006,81.66666666666667,18.333333333333332
67,2006-01-01,Western Isles,Male,2,107,11,11,22,131,22,153,2006,85.62091503267973,14.37908496732026
68,2006-01-01,Fife,Female,8,1207,216,180,396,1611,396,2007,2006,80.26905829596413,19.730941704035875
69,2006-01-01,Fife,Male,13,1218,226,214,440,1671,440,2111,2006,79.15679772619612,20.843202273803886
70,2006-01-01,Tayside,Female,23,1507,245,156,401,1931,401,2332,2006,82.80445969125213,17.195540308747855
71,2006-01-01,Tayside,Male,43,1517,262,209,471,2031,471,2502,2006,81.17505995203837,18.82494004796163
72,2006-01-01,Greater Glasgow and Clyde,Female,15,643,98,71,169,827,169,996,2006,83.03212851405623,16.967871485943775
73,2006-01-01,Greater Glasgow and Clyde,Male,30,612,91,72,163,805,163,968,2006,83.16115702479338,16.83884297520661
74,2006-01-01,Lanarkshire,Female,61,2157,286,242,528,2746,528,3274,2006,83.87293830177154,16.127061698228466
75,2006-01-01,Lanarkshire,Male,89,2158,320,275,595,2842,595,3437,2006,82.68839103869654,17.311608961303463
76,2007-01-01,Ayrshire and Arran,Female,21,1205,189,154,343,1569,343,1912,2007,82.06066945606695,17.939330543933053
77,2007-01-01,Ayrshire and Arran,Male,33,1218,193,163,356,1607,356,1963,2007,81.86449312277126,18.135506877228732
78,2007-01-01,Borders,Female,4,413,48,52,100,517,100,617,2007,83.79254457050244,16.207455429497568
79,2007-01-01,Borders,Male,6,441,64,42,106,553,106,659,2007,83.91502276176024,16.084977238239755
80,2007-01-01,Dumfries and Galloway,Female,4,492,88,62,150,646,150,796,2007,81.15577889447236,18.84422110552764
81,2007-01-01,Dumfries and Galloway,Male,3,507,109,69,178,688,178,866,2007,79.44572748267899,20.554272517321014
82,2007-01-01,Forth Valley,Female,19,1011,135,88,223,1253,223,1476,2007,84.89159891598916,15.10840108401084
83,2007-01-01,Forth Valley,Male,19,1081,132,129,261,1361,261,1622,2007,83.90875462392108,16.091245376078913
84,2007-01-01,Lothian,Female,18,1845,315,227,542,2405,542,2947,2007,81.60841533763148,18.39158466236851
85,2007-01-01,Lothian,Male,38,1943,348,299,647,2628,647,3275,2007,80.24427480916032,19.755725190839694
86,2007-01-01,Western Isles,Female,2,94,17,18,35,131,35,166,2007,78.91566265060241,21.084337349397593
87,2007-01-01,Western Isles,Male,2,80,12,11,23,105,23,128,2007,82.03125,17.96875
88,2007-01-01,Fife,Female,7,1307,214,170,384,1698,384,2082,2007,81.55619596541787,18.443804034582133
89,2007-01-01,Fife,Male,10,1371,272,200,472,1853,472,2325,2007,79.6989247311828,20.301075268817204
90,2007-01-01,Tayside,Female,28,1447,184,149,333,1808,333,2141,2007,84.4465203176086,15.553479682391405
91,2007-01-01,Tayside,Male,38,1448,233,162,395,1881,395,2276,2007,82.64499121265378,17.35500878734622
92,2007-01-01,Greater Glasgow and Clyde,Female,26,655,77,47,124,805,124,929,2007,86.65231431646933,13.347685683530678
93,2007-01-01,Greater Glasgow and Clyde,Male,32,619,69,66,135,786,135,921,2007,85.34201954397395,14.65798045602606
94,2007-01-01,Lanarkshire,Female,73,2231,343,229,572,2876,572,3448,2007,83.4106728538283,16.58932714617169
95,2007-01-01,Lanarkshire,Male,90,2218,299,278,577,2885,577,3462,2007,83.33333333333334,16.666666666666664
96,2008-01-01,Ayrshire and Arran,Female,31,1349,164,138,302,1682,302,1984,2008,84.77822580645162,15.221774193548388
97,2008-01-01,Ayrshire and Arran,Male,42,1334,196,140,336,1712,336,2048,2008,83.59375,16.40625
98,2008-01-01,Borders,Female,6,400,72,38,110,516,110,626,2008,82.42811501597444,17.57188498402556
99,2008-01-01,Borders,Male,4,426,62,54,116,546,116,662,2008,82.4773413897281,17.522658610271904
100,2008-01-01,Dumfries and Galloway,Female,6,525,77,76,153,684,153,837,2008,81.72043010752688,18.27956989247312
101,2008-01-01,Dumfries and Galloway,Male,14,525,85,70,155,694,155,849,2008,81.7432273262662,18.256772673733803
102,2008-01-01,Forth Valley,Female,11,1190,176,136,312,1513,312,1825,2008,82.9041095890411,17.095890410958905
103,2008-01-01,Forth Valley,Male,21,1216,180,140,320,1557,320,1877,2008,82.95151838039425,17.048481619605756
